ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,200,1.481481481,0.015658985,137.8990931
ENSG00000188976,NOC2L,chr1,894679,-,715,5.5,0.067777207,299.7744827
ENSG00000187961,KLHL17,chr1,895966,+,715,5.335820896,0.06763832,308.409958
ENSG00000187583,PLEKHN1,chr1,901876,+,934,11.97435897,0.112811306,394.6160873
ENSG00000187642,C1orf170,chr1,917473,-,1138,51.72727273,0.476843373,260.693103
ENSG00000188290,HES4,chr1,935552,-,1019,4.159183673,0.046097821,417.4847844
ENSG00000187608,ISG15,chr1,948846,+,1502,93.875,0.868113772,423.5774018
ENSG00000188157,AGRN,chr1,955502,+,395,3.237704918,0.012544608,53.22740812
ENSG00000237330,RNF223,chr1,1009687,-,2578,56.04347826,0.59141994,258.9013109
ENSG00000131591,C1orf159,chr1,1027554,-,1478,77.78947368,0.761591592,280.6443016
ENSG00000162571,TTLL10,chr1,1109285,+,936,26,0.138835192,145.6061592
ENSG00000186891,TNFRSF18,chr1,1142089,-,530,10.19230769,0.117170198,233.7996008
ENSG00000186827,TNFRSF4,chr1,1149548,-,626,17.38888889,0.142066116,75.81409744
ENSG00000078808,SDF4,chr1,1167447,-,5292,38.07194245,0.473941763,3062.421401
ENSG00000176022,B3GALT6,chr1,1167628,+,5392,38.51428571,0.474044549,2955.865782
ENSG00000184163,FAM132A,chr1,1182102,-,1655,23.30985915,0.169181701,316.3565015
ENSG00000160087,UBE2J2,chr1,1209234,-,412,3.678571429,0.010796537,41.07546231
ENSG00000162572,SCNN1D,chr1,1215815,+,1532,69.63636364,0.706729452,507.1626113
ENSG00000131584,ACAP3,chr1,1243269,-,1197,6.576923077,0.075278052,720.4476839
ENSG00000169972,PUSL1,chr1,1243993,+,1397,7.633879781,0.076476434,636.9643794
ENSG00000127054,CPSF3L,chr1,1260067,-,1059,13.07407407,0.023429487,76.66548624
ENSG00000224051,GLTPD1,chr1,1260142,+,1059,13.07407407,0.023429487,76.94032157
