"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",225.36,0.102315590737637,0.204483096117938,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",120.48,0.414778340886636,0.474338153612538,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",159.8,0.247291010835957,0.340501720910966,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",12454.8,0.000691997232011072,0.0571626086597606,TRUE
"ENSG00000188976","NOC2L","chr1",894679,"-",1190,0.0100279598881604,0.0663576285311943,TRUE
"ENSG00000187961","KLHL17","chr1",895966,"+",1697,0.0072439710241159,0.06162868429095,TRUE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",2544.12,0.00496398014407942,0.0582619885981895,TRUE
"ENSG00000187642","C1orf170","chr1",917473,"-",1014.92,0.0115079539681841,0.0687909695913664,TRUE
"ENSG00000188290","HES4","chr1",935552,"-",7112,0.00177199291202835,0.0571626086597606,TRUE
"ENSG00000187608","ISG15","chr1",948846,"+",470.28,0.0249159003363987,0.0925631885220803,TRUE
"ENSG00000188157","AGRN","chr1",955502,"+",308,0.048499806000776,0.130449508169004,FALSE
"ENSG00000237330","RNF223","chr1",1009687,"-",580,0.019627921488314,0.0832760148042367,TRUE
"ENSG00000131591","C1orf159","chr1",1027554,"-",240.52,0.0862996548013808,0.18519606734484,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",584.32,0.019439922240311,0.082673784443455,TRUE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1213,0.00991596033615866,0.0663499294872772,TRUE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",93.68,0.560793756824973,0.590983252833456,FALSE
"ENSG00000078808","SDF4","chr1",1167447,"-",387.2,0.0326358694565222,0.105160023804349,FALSE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",412.28,0.0298318806724773,0.101091712658442,FALSE
"ENSG00000184163","FAM132A","chr1",1182102,"-",1223.32,0.00983996064015744,0.0663499294872772,TRUE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",439.84,0.0271598913604346,0.0964245626901218,TRUE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",128.4,0.37560649757401,0.444727408347144,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",389,0.0324318702725189,0.104987692522193,FALSE
"ENSG00000169972","PUSL1","chr1",1243993,"+",380.2,0.0335718657125371,0.106770658125516,FALSE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",120,0.426942292230831,0.483505210260277,FALSE
"ENSG00000224051","GLTPD1","chr1",1260142,"+",120,0.426942292230831,0.483505210260277,FALSE
"ENSG00000169962","TAS1R3","chr1",1266725,"+",274.12,0.0626997492010032,0.152159415696527,FALSE
"ENSG00000107404","DVL1","chr1",1284492,"-",195.96,0.147283410866357,0.251104996529772,FALSE
"ENSG00000162576","MXRA8","chr1",1297157,"-",425.24,0.0285358858564566,0.0985660355992403,TRUE
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",209.24,0.124059503761985,0.22880839946896,FALSE
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",216.44,0.113503545985816,0.217078857233261,FALSE
"ENSG00000242485","MRPL20","chr1",1342693,"-",156,0.258398966404134,0.350129819287486,FALSE
"ENSG00000235098","ANKRD65","chr1",1356824,"-",486.4,0.0239599041603834,0.0910373922986338,TRUE
"ENSG00000205116","TMEM88B","chr1",1361507,"+",195.88,0.147447410210359,0.251193742116936,FALSE
"ENSG00000215915","ATAD3C","chr1",1385068,"+",150.72,0.281026875892496,0.36903536570199,FALSE
"ENSG00000160072","ATAD3B","chr1",1407163,"+",113.08,0.453474186103256,0.504669256958434,FALSE
"ENSG00000197785","ATAD3A","chr1",1447522,"+",181.52,0.179655281378874,0.280702581254433,FALSE
"ENSG00000205090","TMEM240","chr1",1475740,"-",161.64,0.236731053075788,0.331272149498243,FALSE
"ENSG00000160075","SSU72","chr1",1510262,"-",231.84,0.0958076167695329,0.196755809247213,FALSE
"ENSG00000228594","C1orf233","chr1",1535476,"-",2600.4,0.00485198059207763,0.0579493703315938,TRUE
"ENSG00000197530","MIB2","chr1",1551689,"+",333.8,0.0414678341286635,0.119197612561031,FALSE
