"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",1307.2
"ENSG00000278566","OR4F29","chr1",367658,"+",1032.68
"ENSG00000273547","OR4F16","chr1",622034,"-",1003.52
"ENSG00000187634","SAMD11","chr1",861120,"+",309.6
"ENSG00000188976","NOC2L","chr1",894679,"-",222.28
"ENSG00000187961","KLHL17","chr1",895966,"+",273.56
"ENSG00000187583","PLEKHN1","chr1",901876,"+",224
"ENSG00000187642","C1orf170","chr1",917473,"-",290.52
"ENSG00000188290","HES4","chr1",935552,"-",273.88
"ENSG00000187608","ISG15","chr1",948846,"+",544
"ENSG00000188157","AGRN","chr1",955502,"+",99.2
"ENSG00000237330","RNF223","chr1",1009687,"-",320.12
"ENSG00000131591","C1orf159","chr1",1027554,"-",664.4
"ENSG00000162571","TTLL10","chr1",1109285,"+",505.68
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",218.44
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",205.32
"ENSG00000078808","SDF4","chr1",1167447,"-",545.2
"ENSG00000176022","B3GALT6","chr1",1167628,"+",534.12
"ENSG00000184163","FAM132A","chr1",1182102,"-",224
"ENSG00000160087","UBE2J2","chr1",1209234,"-",325
"ENSG00000162572","SCNN1D","chr1",1215815,"+",322.96
"ENSG00000131584","ACAP3","chr1",1243269,"-",387.44
"ENSG00000169972","PUSL1","chr1",1243993,"+",303
"ENSG00000127054","CPSF3L","chr1",1260067,"-",234.48
"ENSG00000224051","GLTPD1","chr1",1260142,"+",256.6
"ENSG00000169962","TAS1R3","chr1",1266725,"+",533.44
"ENSG00000107404","DVL1","chr1",1284492,"-",239.56
"ENSG00000162576","MXRA8","chr1",1297157,"-",485.08
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",314.52
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",441.64
"ENSG00000242485","MRPL20","chr1",1342693,"-",460.6
"ENSG00000235098","ANKRD65","chr1",1356824,"-",126.76
"ENSG00000205116","TMEM88B","chr1",1361507,"+",208.08
"ENSG00000215915","ATAD3C","chr1",1385068,"+",277.84
"ENSG00000160072","ATAD3B","chr1",1407163,"+",224.92
"ENSG00000197785","ATAD3A","chr1",1447522,"+",252.88
"ENSG00000205090","TMEM240","chr1",1475740,"-",264.56
"ENSG00000160075","SSU72","chr1",1510262,"-",369.12
"ENSG00000228594","C1orf233","chr1",1535476,"-",289.44
"ENSG00000197530","MIB2","chr1",1551689,"+",267.84
"ENSG00000189409","MMP23B","chr1",1567559,"+",216
"ENSG00000248333","CDK11B","chr1",1655775,"-",355.56
"ENSG00000008128","CDK11A","chr1",1655791,"-",355.56
"ENSG00000215790","SLC35E2","chr1",1677438,"-",776.8
"ENSG00000008130","NADK","chr1",1711508,"-",430.92
"ENSG00000078369","GNB1","chr1",1822526,"-",285.08
"ENSG00000169885","CALML6","chr1",1846265,"+",188.64
"ENSG00000178821","TMEM52","chr1",1850740,"-",326.64
"ENSG00000187730","GABRD","chr1",1950767,"+",323.36
"ENSG00000067606","PRKCZ","chr1",1981908,"+",240.88
"ENSG00000162585","C1orf86","chr1",2126214,"-",260.92
"ENSG00000157933","SKI","chr1",2160133,"+",213.4
"ENSG00000116151","MORN1","chr1",2322993,"-",374.64
"ENSG00000157916","RER1","chr1",2323213,"+",444.24
"ENSG00000157911","PEX10","chr1",2344010,"-",282.6
"ENSG00000149527","PLCH2","chr1",2407753,"+",211.64
"ENSG00000157881","PANK4","chr1",2458035,"-",359.48
"ENSG00000197921","HES5","chr1",2461684,"-",220.92
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",312.16
"ENSG00000157870","FAM213B","chr1",2517898,"+",264.88
"ENSG00000215912","TTC34","chr1",2706230,"-",1822.84
"ENSG00000169717","ACTRT2","chr1",2938045,"+",1779.6
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",378.76
"ENSG00000162591","MEGF6","chr1",3528059,"-",239.16
"ENSG00000158109","TPRG1L","chr1",3541555,"+",229.12
"ENSG00000116213","WRAP73","chr1",3566671,"-",394.16
"ENSG00000078900","TP73","chr1",3569128,"+",360.84
"ENSG00000162592","CCDC27","chr1",3668964,"+",375.84
"ENSG00000235169","SMIM1","chr1",3689333,"+",233.52
"ENSG00000130764","LRRC47","chr1",3713068,"-",289.36
"ENSG00000116198","CEP104","chr1",3773797,"-",298.04
"ENSG00000169598","DFFB","chr1",3773844,"+",340.48
"ENSG00000196581","AJAP1","chr1",4715104,"+",208.76
"ENSG00000069424","KCNAB2","chr1",6052357,"+",295.68
"ENSG00000116254","CHD5","chr1",6240194,"-",313.32
"ENSG00000116251","RPL22","chr1",6259679,"-",529.32
"ENSG00000158286","RNF207","chr1",6266188,"+",336.76
"ENSG00000116237","ICMT","chr1",6296044,"-",307.52
"ENSG00000173673","HES3","chr1",6304251,"+",188
"ENSG00000158292","GPR153","chr1",6321035,"-",263.6
"ENSG00000097021","ACOT7","chr1",6453826,"-",360.44
"ENSG00000069812","HES2","chr1",6479979,"-",444.76
"ENSG00000187017","ESPN","chr1",6484847,"+",480.6
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",260
"ENSG00000171680","PLEKHG5","chr1",6580121,"-",395.44
"ENSG00000162408","NOL9","chr1",6614658,"-",332.64
