"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",181.4
"ENSG00000278566","OR4F29","chr1",367658,"+",89.6
"ENSG00000273547","OR4F16","chr1",622034,"-",102.4
"ENSG00000187634","SAMD11","chr1",861120,"+",656.48
"ENSG00000188976","NOC2L","chr1",894679,"-",2569.12
"ENSG00000187961","KLHL17","chr1",895966,"+",2558.28
"ENSG00000187583","PLEKHN1","chr1",901876,"+",589.52
"ENSG00000187642","C1orf170","chr1",917473,"-",59.88
"ENSG00000188290","HES4","chr1",935552,"-",1157.92
"ENSG00000187608","ISG15","chr1",948846,"+",1127.08
"ENSG00000188157","AGRN","chr1",955502,"+",1004.8
"ENSG00000237330","RNF223","chr1",1009687,"-",134.04
"ENSG00000131591","C1orf159","chr1",1027554,"-",100.84
"ENSG00000162571","TTLL10","chr1",1109285,"+",346.56
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",497.92
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",129.12
"ENSG00000078808","SDF4","chr1",1167447,"-",2186.72
"ENSG00000176022","B3GALT6","chr1",1167628,"+",2205.32
"ENSG00000184163","FAM132A","chr1",1182102,"-",224
"ENSG00000160087","UBE2J2","chr1",1209234,"-",2294.08
"ENSG00000162572","SCNN1D","chr1",1215815,"+",86.52
"ENSG00000131584","ACAP3","chr1",1243269,"-",2650.28
"ENSG00000169972","PUSL1","chr1",1243993,"+",2662
"ENSG00000127054","CPSF3L","chr1",1260067,"-",1875.2
"ENSG00000224051","GLTPD1","chr1",1260142,"+",1875
"ENSG00000169962","TAS1R3","chr1",1266725,"+",104.8
"ENSG00000107404","DVL1","chr1",1284492,"-",1638.4
"ENSG00000162576","MXRA8","chr1",1297157,"-",185.6
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",2478.44
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",4571.6
"ENSG00000242485","MRPL20","chr1",1342693,"-",3606.84
"ENSG00000235098","ANKRD65","chr1",1356824,"-",435.96
"ENSG00000205116","TMEM88B","chr1",1361507,"+",362.48
"ENSG00000215915","ATAD3C","chr1",1385068,"+",76.8
"ENSG00000160072","ATAD3B","chr1",1407163,"+",2976.92
"ENSG00000197785","ATAD3A","chr1",1447522,"+",2821.64
"ENSG00000205090","TMEM240","chr1",1475740,"-",1029.68
"ENSG00000160075","SSU72","chr1",1510262,"-",4655.48
"ENSG00000228594","C1orf233","chr1",1535476,"-",708.96
"ENSG00000197530","MIB2","chr1",1551689,"+",2430
"ENSG00000189409","MMP23B","chr1",1567559,"+",582.4
"ENSG00000248333","CDK11B","chr1",1655775,"-",3386.36
"ENSG00000008128","CDK11A","chr1",1655791,"-",3386.36
"ENSG00000215790","SLC35E2","chr1",1677438,"-",3247.32
"ENSG00000008130","NADK","chr1",1711508,"-",2516
"ENSG00000078369","GNB1","chr1",1822526,"-",2340.4
"ENSG00000169885","CALML6","chr1",1846265,"+",129.88
"ENSG00000178821","TMEM52","chr1",1850740,"-",1024
"ENSG00000187730","GABRD","chr1",1950767,"+",492.8
"ENSG00000067606","PRKCZ","chr1",1981908,"+",2339.88
"ENSG00000162585","C1orf86","chr1",2126214,"-",995.64
"ENSG00000157933","SKI","chr1",2160133,"+",3036.2
"ENSG00000116151","MORN1","chr1",2322993,"-",2421.36
"ENSG00000157916","RER1","chr1",2323213,"+",2438.4
"ENSG00000157911","PEX10","chr1",2344010,"-",2313
