"Gene","name","chrom","locus","strand","hm.scores"
"ENSG00000186092","OR4F5","chr1",69090,"+",1220.72
"ENSG00000278566","OR4F29","chr1",367658,"+",818.4
"ENSG00000273547","OR4F16","chr1",622034,"-",834.48
"ENSG00000187634","SAMD11","chr1",861120,"+",368
"ENSG00000188976","NOC2L","chr1",894679,"-",353.56
"ENSG00000187961","KLHL17","chr1",895966,"+",429.84
"ENSG00000187583","PLEKHN1","chr1",901876,"+",358.08
"ENSG00000187642","C1orf170","chr1",917473,"-",621.68
"ENSG00000188290","HES4","chr1",935552,"-",416.84
"ENSG00000187608","ISG15","chr1",948846,"+",1011.84
"ENSG00000188157","AGRN","chr1",955502,"+",387.08
"ENSG00000237330","RNF223","chr1",1009687,"-",474.2
"ENSG00000131591","C1orf159","chr1",1027554,"-",1382.84
"ENSG00000162571","TTLL10","chr1",1109285,"+",732.24
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",354.68
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",275.28
"ENSG00000078808","SDF4","chr1",1167447,"-",1494.52
"ENSG00000176022","B3GALT6","chr1",1167628,"+",1547.72
"ENSG00000184163","FAM132A","chr1",1182102,"-",464
"ENSG00000160087","UBE2J2","chr1",1209234,"-",594.48
"ENSG00000162572","SCNN1D","chr1",1215815,"+",612.6
"ENSG00000131584","ACAP3","chr1",1243269,"-",506
"ENSG00000169972","PUSL1","chr1",1243993,"+",438.56
"ENSG00000127054","CPSF3L","chr1",1260067,"-",424.2
"ENSG00000224051","GLTPD1","chr1",1260142,"+",435.28
"ENSG00000169962","TAS1R3","chr1",1266725,"+",1190.52
"ENSG00000107404","DVL1","chr1",1284492,"-",292
"ENSG00000162576","MXRA8","chr1",1297157,"-",958.72
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",860.36
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",953.92
"ENSG00000242485","MRPL20","chr1",1342693,"-",1058.04
"ENSG00000235098","ANKRD65","chr1",1356824,"-",686.24
"ENSG00000205116","TMEM88B","chr1",1361507,"+",444.8
"ENSG00000215915","ATAD3C","chr1",1385068,"+",610.52
"ENSG00000160072","ATAD3B","chr1",1407163,"+",902.12
"ENSG00000197785","ATAD3A","chr1",1447522,"+",748.12
"ENSG00000205090","TMEM240","chr1",1475740,"-",793.96
"ENSG00000160075","SSU72","chr1",1510262,"-",1067.8
"ENSG00000228594","C1orf233","chr1",1535476,"-",440.2
"ENSG00000197530","MIB2","chr1",1551689,"+",540
"ENSG00000189409","MMP23B","chr1",1567559,"+",652.76
"ENSG00000248333","CDK11B","chr1",1655775,"-",1318.6
"ENSG00000008128","CDK11A","chr1",1655791,"-",1318.6
"ENSG00000215790","SLC35E2","chr1",1677438,"-",1434.92
"ENSG00000008130","NADK","chr1",1711508,"-",696.16
"ENSG00000078369","GNB1","chr1",1822526,"-",457.08
"ENSG00000169885","CALML6","chr1",1846265,"+",365.4
"ENSG00000178821","TMEM52","chr1",1850740,"-",416.92
"ENSG00000187730","GABRD","chr1",1950767,"+",375.68
"ENSG00000067606","PRKCZ","chr1",1981908,"+",463.28
"ENSG00000162585","C1orf86","chr1",2126214,"-",378.92
"ENSG00000157933","SKI","chr1",2160133,"+",250.92
"ENSG00000116151","MORN1","chr1",2322993,"-",521.32
"ENSG00000157916","RER1","chr1",2323213,"+",558
"ENSG00000157911","PEX10","chr1",2344010,"-",563.32
"ENSG00000149527","PLCH2","chr1",2407753,"+",287.84
"ENSG00000157881","PANK4","chr1",2458035,"-",489.6
"ENSG00000197921","HES5","chr1",2461684,"-",395.36
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",407.4
"ENSG00000157870","FAM213B","chr1",2517898,"+",399.96
"ENSG00000215912","TTC34","chr1",2706230,"-",362.68
"ENSG00000169717","ACTRT2","chr1",2938045,"+",407.84
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",455
"ENSG00000162591","MEGF6","chr1",3528059,"-",325.6
"ENSG00000158109","TPRG1L","chr1",3541555,"+",612.6
"ENSG00000116213","WRAP73","chr1",3566671,"-",916.92
"ENSG00000078900","TP73","chr1",3569128,"+",654.08
"ENSG00000162592","CCDC27","chr1",3668964,"+",671.8
"ENSG00000235169","SMIM1","chr1",3689333,"+",495.76
"ENSG00000130764","LRRC47","chr1",3713068,"-",577.68
"ENSG00000116198","CEP104","chr1",3773797,"-",456.04
"ENSG00000169598","DFFB","chr1",3773844,"+",452.56
"ENSG00000196581","AJAP1","chr1",4715104,"+",313.04
