ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,220,1.88034188,0.017980179,170.1863976
ENSG00000188976,NOC2L,chr1,894679,-,1734,14.33057851,0.139954802,836.8948754
ENSG00000187961,KLHL17,chr1,895966,+,1767,14.136,0.139825254,868.033024
ENSG00000187583,PLEKHN1,chr1,901876,+,866,13.12121212,0.2346578,1132.622603
ENSG00000187642,C1orf170,chr1,917473,-,331,19.47058824,0.125933014,103.7493632
ENSG00000188290,HES4,chr1,935552,-,3085,12.24206349,0.19333298,2578.445198
ENSG00000187608,ISG15,chr1,948846,+,953,95.3,0.940036058,1144.423353
ENSG00000188157,AGRN,chr1,955502,+,178,1.534482759,0.018100883,84.96690733
ENSG00000237330,RNF223,chr1,1009687,-,1521,29.82352941,0.314149378,302.6133548
ENSG00000131591,C1orf159,chr1,1027554,-,1571,98.1875,0.972651232,1508.513269
ENSG00000162571,TTLL10,chr1,1109285,+,2120,53,0.635643016,1288.853541
ENSG00000186891,TNFRSF18,chr1,1142089,-,2029,47.18604651,0.477597816,1165.729544
ENSG00000186827,TNFRSF4,chr1,1149548,-,1815,51.85714286,0.60132764,933.944046
ENSG00000078808,SDF4,chr1,1167447,-,5177,40.76377953,0.746526818,11479.24304
ENSG00000176022,B3GALT6,chr1,1167628,+,5177,40.76377953,0.746526818,11072.80624
ENSG00000184163,FAM132A,chr1,1182102,-,6164,89.33333333,0.86323827,3117.820845
ENSG00000160087,UBE2J2,chr1,1209234,-,362,3.514563107,0.022128866,93.67562842
ENSG00000162572,SCNN1D,chr1,1215815,+,1092,39,0.518105536,697.2445734
ENSG00000131584,ACAP3,chr1,1243269,-,385,2.092391304,0.023416873,221.2578355
ENSG00000169972,PUSL1,chr1,1243993,+,480,2.594594595,0.023525216,212.2613086
ENSG00000127054,CPSF3L,chr1,1260067,-,1152,16.94117647,0.037641894,141.5439023
ENSG00000224051,GLTPD1,chr1,1260142,+,1152,16.94117647,0.037641894,141.3564021
