ensemblID,OGS,chromosome,TSSLocation,strand,sumMethylationFractionBySite,meanMethylationFractionBySite,meanMethylationFractionByRegion,sumOfScaledMethylatedReadsByRegion
ENSG00000186092,OR4F5,chr1,69090,+,0,NA,NA,0
ENSG00000278566,OR4F29,chr1,367658,+,0,NA,NA,0
ENSG00000273547,OR4F16,chr1,622034,-,0,NA,NA,0
ENSG00000187634,SAMD11,chr1,861120,+,264,1.899280576,0.022781599,211.159413
ENSG00000188976,NOC2L,chr1,894679,-,1100,7.534246575,0.054399407,264.2894944
ENSG00000187961,KLHL17,chr1,895966,+,1113,7.274509804,0.054187699,253.5314394
ENSG00000187583,PLEKHN1,chr1,901876,+,1452,18.37974684,0.11358468,242.2088556
ENSG00000187642,C1orf170,chr1,917473,-,1690,73.47826087,0.850375,357.0943901
ENSG00000188290,HES4,chr1,935552,-,1384,5.10701107,0.044976701,374.6657976
ENSG00000187608,ISG15,chr1,948846,+,923,76.91666667,0.873139535,109.5855429
ENSG00000188157,AGRN,chr1,955502,+,217,1.736,0.014503074,61.48542111
ENSG00000237330,RNF223,chr1,1009687,-,3227,84.92105263,0.848488889,255.5859729
ENSG00000131591,C1orf159,chr1,1027554,-,1844,97.05263158,0.943144105,265.6589647
ENSG00000162571,TTLL10,chr1,1109285,+,2226,53,0.452055465,373.2414001
ENSG00000186891,TNFRSF18,chr1,1142089,-,1983,40.46938776,0.288952187,377.2676967
ENSG00000186827,TNFRSF4,chr1,1149548,-,1880,72.30769231,0.864363636,117.9863422
ENSG00000078808,SDF4,chr1,1167447,-,4947,34.59440559,0.430821229,2915.414417
ENSG00000176022,B3GALT6,chr1,1167628,+,4947,34.59440559,0.430821229,2812.788889
ENSG00000184163,FAM132A,chr1,1182102,-,2590,38.65671642,0.238471712,367.3877948
ENSG00000160087,UBE2J2,chr1,1209234,-,438,4.171428571,0.033449678,112.1809023
ENSG00000162572,SCNN1D,chr1,1215815,+,1724,82.0952381,0.87541779,407.6478565
ENSG00000131584,ACAP3,chr1,1243269,-,808,4.143589744,0.036570808,343.9561832
ENSG00000169972,PUSL1,chr1,1243993,+,751,3.871134021,0.035555858,304.7199764
ENSG00000127054,CPSF3L,chr1,1260067,-,1300,18.57142857,0.051559117,150.5848156
ENSG00000224051,GLTPD1,chr1,1260142,+,1200,17.39130435,0.050736888,148.2363117
