"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",364.24,0.286418854324583,0.499369158312023,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",385.56,0.256726973092108,0.495252157436966,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",300.6,0.400438398246407,0.546138101118466,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",208.12,0.607249571001716,0.657463030702762,FALSE
"ENSG00000188976","NOC2L","chr1",894679,"-",240.44,0.535893856424574,0.614646387877933,FALSE
"ENSG00000187961","KLHL17","chr1",895966,"+",214.64,0.594601621593514,0.649000636141398,FALSE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",264,0.482050071799713,0.586067107272377,FALSE
"ENSG00000187642","C1orf170","chr1",917473,"-",275.84,0.454478182087272,0.57251493660692,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",397.88,0.241215035139859,0.495252157436966,FALSE
"ENSG00000187608","ISG15","chr1",948846,"+",645.88,0.0843916624333503,0.495252157436966,FALSE
"ENSG00000188157","AGRN","chr1",955502,"+",153.88,0.694669221323115,0.712641283385378,FALSE
"ENSG00000237330","RNF223","chr1",1009687,"-",152,0.697773208907164,0.714490153048457,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",227.68,0.565693737225051,0.632459409375118,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",399.08,0.239799040803837,0.495252157436966,FALSE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",384.88,0.257574969700121,0.495252157436966,FALSE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",142.4,0.706629173483306,0.719168792467072,FALSE
"ENSG00000078808","SDF4","chr1",1167447,"-",737.68,0.0622037511849953,0.495252157436966,FALSE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",787.6,0.0535837856648573,0.495252157436966,FALSE
"ENSG00000184163","FAM132A","chr1",1182102,"-",257.92,0.495378018487926,0.592491844675217,FALSE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",220.44,0.581809672761309,0.64158939384143,FALSE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",144,0.705381178475286,0.718346714404599,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",174.68,0.6687453250187,0.696859803936793,FALSE
"ENSG00000169972","PUSL1","chr1",1243993,"+",126.84,0.71814512741949,0.725664125094696,FALSE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",280,0.445338218647125,0.567076187298088,FALSE
"ENSG00000224051","GLTPD1","chr1",1260142,"+",281.2,0.441982232071072,0.56586713129647,FALSE
"ENSG00000169962","TAS1R3","chr1",1266725,"+",600.8,0.099247603009588,0.495252157436966,FALSE
"ENSG00000107404","DVL1","chr1",1284492,"-",178.4,0.662417350330599,0.693233350412562,FALSE
"ENSG00000162576","MXRA8","chr1",1297157,"-",266.24,0.476002095991616,0.583177288093468,FALSE
"ENSG00000175756","AURKAIP1","chr1",1310818,"-",191.72,0.640569437722249,0.678919641999887,FALSE
"ENSG00000224870","RP4-758J18.2","chr1",1334909,"+",478.64,0.164231343074628,0.495252157436966,FALSE
"ENSG00000242485","MRPL20","chr1",1342693,"-",528.04,0.132451470194119,0.495252157436966,FALSE
"ENSG00000235098","ANKRD65","chr1",1356824,"-",350.8,0.30811076755693,0.505543507044379,FALSE
"ENSG00000205116","TMEM88B","chr1",1361507,"+",180.68,0.659169363322547,0.691165259404383,FALSE
"ENSG00000215915","ATAD3C","chr1",1385068,"+",171.28,0.672797308810765,0.699084538693102,FALSE
"ENSG00000160072","ATAD3B","chr1",1407163,"+",292.92,0.416542333830665,0.553549854500612,FALSE
"ENSG00000197785","ATAD3A","chr1",1447522,"+",348.92,0.311018755924976,0.506403418377256,FALSE
"ENSG00000205090","TMEM240","chr1",1475740,"-",200.28,0.622901508393966,0.66756192956126,FALSE
"ENSG00000160075","SSU72","chr1",1510262,"-",350.52,0.308542765828937,0.505581225348032,FALSE
"ENSG00000228594","C1orf233","chr1",1535476,"-",252,0.509537961848153,0.599902666303941,FALSE
"ENSG00000197530","MIB2","chr1",1551689,"+",405.48,0.232355070579718,0.495252157436966,FALSE
"ENSG00000189409","MMP23B","chr1",1567559,"+",370.44,0.277330890676437,0.4975130316197,FALSE
"ENSG00000248333","CDK11B","chr1",1655775,"-",248.08,0.51814592741629,0.604879855826873,FALSE
"ENSG00000008128","CDK11A","chr1",1655791,"-",248.08,0.51814592741629,0.604879855826873,FALSE
"ENSG00000215790","SLC35E2","chr1",1677438,"-",818.4,0.0490558037767849,0.495252157436966,FALSE
"ENSG00000008130","NADK","chr1",1711508,"-",251.16,0.511361954552182,0.601182686892803,FALSE
"ENSG00000078369","GNB1","chr1",1822526,"-",210.88,0.60187759248963,0.653776150476906,FALSE
"ENSG00000169885","CALML6","chr1",1846265,"+",217.6,0.587601649593402,0.645337241471469,FALSE
"ENSG00000178821","TMEM52","chr1",1850740,"-",295.04,0.412246351014596,0.551474345857591,FALSE
"ENSG00000187730","GABRD","chr1",1950767,"+",173.8,0.669825320698717,0.697328442374452,FALSE
"ENSG00000067606","PRKCZ","chr1",1981908,"+",321.8,0.357966568133727,0.524602650385218,FALSE
"ENSG00000162585","C1orf86","chr1",2126214,"-",175,0.668353326586694,0.696690303472209,FALSE
"ENSG00000157933","SKI","chr1",2160133,"+",189.8,0.643577425690297,0.680981925644947,FALSE
"ENSG00000116151","MORN1","chr1",2322993,"-",271.72,0.464186143255427,0.577690339543689,FALSE
"ENSG00000157916","RER1","chr1",2323213,"+",280.12,0.444118223527106,0.56682305229542,FALSE
"ENSG00000157911","PEX10","chr1",2344010,"-",226.12,0.568857724569102,0.634692337232889,FALSE
"ENSG00000149527","PLCH2","chr1",2407753,"+",119.16,0.721925112299551,0.728113922272227,FALSE
"ENSG00000157881","PANK4","chr1",2458035,"-",255.64,0.501729993080028,0.595317278457239,FALSE
"ENSG00000197921","HES5","chr1",2461684,"-",256,0.500989996040016,0.594911121182399,FALSE
"ENSG00000157873","TNFRSF14","chr1",2487804,"+",384.2,0.258386966452134,0.495252157436966,FALSE
"ENSG00000157870","FAM213B","chr1",2517898,"+",197,0.630245479018084,0.672042337301173,FALSE
"ENSG00000215912","TTC34","chr1",2706230,"-",975,0.0329198683205267,0.495252157436966,FALSE
"ENSG00000169717","ACTRT2","chr1",2938045,"+",357.88,0.296338814644741,0.501711853205397,FALSE
"ENSG00000130762","ARHGEF16","chr1",3371146,"+",150.24,0.699237203051188,0.715132579305599,FALSE
"ENSG00000162591","MEGF6","chr1",3528059,"-",328,0.346778612885548,0.519661313958467,FALSE
"ENSG00000158109","TPRG1L","chr1",3541555,"+",296,0.410570357718569,0.550709743062545,FALSE
"ENSG00000116213","WRAP73","chr1",3566671,"-",372.52,0.274246903012388,0.496302695546062,FALSE
"ENSG00000078900","TP73","chr1",3569128,"+",311.2,0.378834484662061,0.535848856210595,FALSE
"ENSG00000162592","CCDC27","chr1",3668964,"+",198.28,0.627969488122048,0.67051393536039,FALSE
"ENSG00000235169","SMIM1","chr1",3689333,"+",264,0.482050071799713,0.586067107272377,FALSE
"ENSG00000130764","LRRC47","chr1",3713068,"-",323.56,0.354734581061676,0.522886471307743,FALSE
"ENSG00000116198","CEP104","chr1",3773797,"-",331.84,0.339594641621433,0.517452301403559,FALSE
"ENSG00000169598","DFFB","chr1",3773844,"+",321.04,0.35938256246975,0.525348239323655,FALSE
"ENSG00000196581","AJAP1","chr1",4715104,"+",367.56,0.281730873076508,0.49809719092325,FALSE
"ENSG00000069424","KCNAB2","chr1",6052357,"+",160,0.688657245371018,0.708997832740029,FALSE
"ENSG00000116254","CHD5","chr1",6240194,"-",191.8,0.640449438202247,0.678872622684886,FALSE
"ENSG00000116251","RPL22","chr1",6259679,"-",547.84,0.122191511233955,0.495252157436966,FALSE
"ENSG00000158286","RNF207","chr1",6266188,"+",328.52,0.345234619061524,0.519298361552992,FALSE
"ENSG00000116237","ICMT","chr1",6296044,"-",299.4,0.402906388374446,0.547123223787807,FALSE
"ENSG00000173673","HES3","chr1",6304251,"+",326.84,0.348930604277583,0.520539622487068,FALSE
"ENSG00000158292","GPR153","chr1",6321035,"-",234.8,0.549141803432786,0.622247475913518,FALSE
"ENSG00000097021","ACOT7","chr1",6453826,"-",232,0.556717773128907,0.626678418852262,FALSE
"ENSG00000069812","HES2","chr1",6479979,"-",286.84,0.430306278774885,0.559692332265953,FALSE
"ENSG00000187017","ESPN","chr1",6484847,"+",340.28,0.325186699253203,0.512099871768949,FALSE
"ENSG00000215788","TNFRSF25","chr1",6526255,"-",176,0.667013331946672,0.695772928222135,FALSE
