"Gene","name","chrom","locus","strand","hm.scores","p.vals","cor.p","sig"
"ENSG00000186092","OR4F5","chr1",69090,"+",1019.32,0.095311618753525,0.362103464178736,FALSE
"ENSG00000278566","OR4F29","chr1",367658,"+",1035.72,0.090811636753453,0.350496601023701,FALSE
"ENSG00000273547","OR4F16","chr1",622034,"-",1214.28,0.0512037951848193,0.243137512506813,FALSE
"ENSG00000187634","SAMD11","chr1",861120,"+",1945.12,0.00520797916808333,0.0590446409480903,TRUE
"ENSG00000188976","NOC2L","chr1",894679,"-",318.2,0.622125511497954,0.687870469899679,FALSE
"ENSG00000187961","KLHL17","chr1",895966,"+",207.24,0.715157139371443,0.72231957513401,FALSE
"ENSG00000187583","PLEKHN1","chr1",901876,"+",678.56,0.242751028995884,0.61792735699165,FALSE
"ENSG00000187642","C1orf170","chr1",917473,"-",739.88,0.208707165171339,0.573781138433315,FALSE
"ENSG00000188290","HES4","chr1",935552,"-",1823.24,0.0071999712001152,0.0691912716565292,TRUE
"ENSG00000187608","ISG15","chr1",948846,"+",400.12,0.499418002327991,0.676317606174507,FALSE
"ENSG00000188157","AGRN","chr1",955502,"+",687.08,0.237727049091804,0.612256894821001,FALSE
"ENSG00000237330","RNF223","chr1",1009687,"-",702.52,0.228687085251659,0.600784701793141,FALSE
"ENSG00000131591","C1orf159","chr1",1027554,"-",227.12,0.706497174011304,0.71859431327497,FALSE
"ENSG00000162571","TTLL10","chr1",1109285,"+",1480.36,0.020751916992332,0.131958080740118,FALSE
"ENSG00000186891","TNFRSF18","chr1",1142089,"-",1486.32,0.0202719189123244,0.129640618594633,FALSE
"ENSG00000186827","TNFRSF4","chr1",1149548,"-",377.32,0.534073863704545,0.678010143412137,FALSE
"ENSG00000078808","SDF4","chr1",1167447,"-",275.76,0.671329314682741,0.702276459743945,FALSE
"ENSG00000176022","B3GALT6","chr1",1167628,"+",257.76,0.687373250506998,0.708688996174929,FALSE
"ENSG00000184163","FAM132A","chr1",1182102,"-",1008.56,0.0984676061295755,0.369325532309237,FALSE
"ENSG00000160087","UBE2J2","chr1",1209234,"-",430.88,0.456514173943304,0.676317606174507,FALSE
"ENSG00000162572","SCNN1D","chr1",1215815,"+",342.2,0.587569649721401,0.682021518406005,FALSE
"ENSG00000131584","ACAP3","chr1",1243269,"-",442.4,0.441514233943064,0.676317606174507,FALSE
"ENSG00000169972","PUSL1","chr1",1243993,"+",455.2,0.425794296822813,0.676317606174507,FALSE
"ENSG00000127054","CPSF3L","chr1",1260067,"-",232.92,0.703357186571254,0.717017710042624,FALSE
